"Date.Time"	"Phase"	"Temp.1"	"Ox.1"	"Temp.2"	"Ox.2"	"Temp.3"	"Ox.3"	"Temp.4"	"Ox.4"
"11/03/2020/09:54:29"	"F"	14.936	9.2542	14.936	9.2975	14.936	9.357	14.936	9.24
"11/03/2020/09:54:30"	"F"	14.933	9.2565	14.933	9.2965	14.933	9.3636	14.933	9.2348
"11/03/2020/09:54:31"	"F"	14.936	9.2594	14.936	9.2923	14.936	9.3656	14.936	9.2337
"11/03/2020/09:54:32"	"F"	14.943	9.2573	14.943	9.2911	14.943	9.3632	14.943	9.2326
"11/03/2020/09:54:33"	"F"	14.948	9.2572	14.948	9.2904	14.948	9.3628	14.948	9.2234
"11/03/2020/09:54:34"	"F"	14.947	9.2569	14.947	9.2839	14.947	9.3645	14.947	9.2215
"11/03/2020/09:54:35"	"F"	14.94	9.2575	14.94	9.2885	14.94	9.37	14.94	9.2231
"11/03/2020/09:54:36"	"F"	14.937	9.2607	14.937	9.2873	14.937	9.3702	14.937	9.2414
"11/03/2020/09:54:37"	"F"	14.946	9.2579	14.946	9.2962	14.946	9.3617	14.946	9.2345
"11/03/2020/09:54:38"	"F"	14.947	9.2659	14.947	9.3005	14.947	9.3585	14.947	9.2423
"11/03/2020/09:54:39"	"F"	14.953	9.2686	14.953	9.3032	14.953	9.363	14.953	9.2337
"11/03/2020/09:54:40"	"F"	14.952	9.2689	14.952	9.3004	14.952	9.3616	14.952	9.2292
"11/03/2020/09:54:41"	"F"	14.953	9.2659	14.953	9.2974	14.953	9.3586	14.953	9.2214
"11/03/2020/09:54:42"	"F"	14.948	9.2659	14.948	9.3002	14.948	9.3558	14.948	9.2201
"11/03/2020/09:54:43"	"F"	14.946	9.2697	14.946	9.2977	14.946	9.3608	14.946	9.2335
"11/03/2020/09:54:44"	"F"	14.95	9.2659	14.95	9.304	14.95	9.3581	14.95	9.2383
"11/03/2020/09:54:45"	"F"	14.95	9.2628	14.95	9.3038	14.95	9.3558	14.95	9.242
"11/03/2020/09:54:46"	"F"	14.947	9.2692	14.947	9.3081	14.947	9.3596	14.947	9.2458
"11/03/2020/09:54:47"	"F"	14.944	9.2751	14.944	9.2978	14.944	9.3672	14.944	9.2435
"11/03/2020/09:54:48"	"F"	14.949	9.273	14.949	9.3017	14.949	9.3691	14.949	9.2468
"11/03/2020/09:54:49"	"F"	14.947	9.2701	14.947	9.2997	14.947	9.3756	14.947	9.245
"11/03/2020/09:54:50"	"F"	14.945	9.2733	14.945	9.3097	14.945	9.3782	14.945	9.2486
"11/03/2020/09:54:51"	"F"	14.942	9.2803	14.942	9.3093	14.942	9.3818	14.942	9.2431
"11/03/2020/09:54:52"	"F"	14.953	9.2756	14.953	9.3117	14.953	9.3765	14.953	9.2455
"11/03/2020/09:54:53"	"F"	14.957	9.2786	14.957	9.3102	14.957	9.3785	14.957	9.2463
"11/03/2020/09:54:54"	"F"	14.956	9.2802	14.956	9.3048	14.956	9.3744	14.956	9.2519
"11/03/2020/09:54:55"	"F"	14.95	9.2811	14.95	9.3056	14.95	9.3744	14.95	9.2498
"11/03/2020/09:54:56"	"F"	14.954	9.2804	14.954	9.3045	14.954	9.3697	14.954	9.24
"11/03/2020/09:54:57"	"F"	14.959	9.2792	14.959	9.3056	14.959	9.3704	14.959	9.2337
"11/03/2020/09:54:58"	"F"	14.96	9.2832	14.96	9.3063	14.96	9.3736	14.96	9.2345
"11/03/2020/09:54:59"	"F"	14.959	9.2803	14.959	9.308	14.959	9.3711	14.959	9.245
"11/03/2020/09:55:00"	"F"	14.956	9.2824	14.956	9.311	14.956	9.3763	14.956	9.2454
"11/03/2020/09:55:01"	"F"	14.957	9.2875	14.957	9.3067	14.957	9.3769	14.957	9.2465
"11/03/2020/09:55:02"	"F"	14.957	9.2827	14.957	9.3005	14.957	9.3851	14.957	9.2394
"11/03/2020/09:55:03"	"F"	14.966	9.286	14.966	9.2904	14.966	9.3724	14.966	9.2423
"11/03/2020/09:55:04"	"F"	14.97	9.2804	14.97	9.284	14.97	9.3743	14.97	9.2329
"11/03/2020/09:55:05"	"F"	14.971	9.2827	14.971	9.2868	14.971	9.3703	14.971	9.2363
"11/03/2020/09:55:06"	"F"	14.966	9.2745	14.966	9.2919	14.966	9.3828	14.966	9.2362
"11/03/2020/09:55:08"	"F"	14.964	9.2732	14.964	9.3012	14.964	9.3824	14.964	9.2394
"11/03/2020/09:55:09"	"F"	14.964	9.2761	14.964	9.3046	14.964	9.3898	14.964	9.2405
"11/03/2020/09:55:10"	"F"	14.964	9.2823	14.964	9.3105	14.964	9.3909	14.964	9.2405
"11/03/2020/09:55:11"	"F"	14.964	9.2849	14.964	9.3131	14.964	9.3892	14.964	9.2448
"11/03/2020/09:55:12"	"F"	14.966	9.2827	14.966	9.3092	14.966	9.3836	14.966	9.2426
"11/03/2020/09:55:13"	"F"	14.968	9.2819	14.968	9.3076	14.968	9.3854	14.968	9.2514
"11/03/2020/09:55:14"	"F"	14.969	9.2808	14.969	9.3002	14.969	9.3792	14.969	9.2508
"11/03/2020/09:55:15"	"F"	14.97	9.2843	14.97	9.2974	14.97	9.3766	14.97	9.2568
"11/03/2020/09:55:16"	"F"	14.972	9.2792	14.972	9.2949	14.972	9.3733	14.972	9.2546
"11/03/2020/09:55:17"	"F"	14.974	9.2799	14.974	9.3006	14.974	9.3805	14.974	9.2615
"11/03/2020/09:55:18"	"F"	14.971	9.2815	14.971	9.3068	14.971	9.383	14.971	9.2688
"11/03/2020/09:55:19"	"F"	14.967	9.2871	14.967	9.307	14.967	9.3869	14.967	9.2691
"11/03/2020/09:55:20"	"F"	14.964	9.2878	14.964	9.31	14.964	9.3905	14.964	9.2659
"11/03/2020/09:55:21"	"F"	14.969	9.2877	14.969	9.3042	14.969	9.3918	14.969	9.2527
