FishID,Group,Tank,Pop,Sex,BreedingCond,TL,SL,MBD,WetMass,FoilMass,PackageMass,DryMass,Exposed,ExposureDate,DPE,Infected,WormNumber,WormWetMass,WormDryMass,RespDate,Chamber,W_M1,W_M2,W_M3,W_Mavg,W_Mmin,D_M1,D_M2,D_M3,D_Mavg,D_Mmin,Notes
GS3_7,14,GS3,GS,M,Y,62.48,54.14,11.72,2.0509,0.1963,0.6765,0.4802,N,,,NA,NA,NA,NA,12/11/2020,3,125.434,131.276,138.283,131.6643333,125.434,,,,#DIV/0!,0,
GS1_11,14,GS1,GS,M,Y,69.89,60.5,14.16,2.8664,0.2138,0.9051,0.6913,Y,,,N,0,0,0,12/11/2020,4,85.419,106.214,112.215,101.2826667,85.419,,,,#DIV/0!,0,
GS1_12,15,GS1,GS,F,Y,71.15,63.46,14.26,3.1268,0.1966,1.0876,0.891,Y,,,N,0,0,0,12/12/2020,1,148.201,153.785,154.227,152.071,148.201,,,,#DIV/0!,0,
SG1_13,15,SG1,SG,F,N,75.33,64.23,13.11,2.8361,0.2173,1.1101,0.8928,Y,,,N,0,0,0,12/12/2020,2,94.443,94.68,97.205,95.44266667,94.443,,,,#DIV/0!,0,
GS1_13,15,GS1,GS,F,N,68.59,60.3,13.49,2.7606,0.2437,0.9749,0.7312,Y,,,Y,1,0.2072,0.0606,12/12/2020,3,148.721,150.316,161.009,153.3486667,148.721,,,,#DIV/0!,0,
SG1_14,15,SG1,SG,M,N,65.67,56.93,12.12,2.1021,0.2287,1.1523,0.9236,Y,,,N,0,0,0,12/12/2020,4,100.679,105.29,114.093,106.6873333,100.679,,,,#DIV/0!,0,
SG1_15,16,SG1,SG,F,N,62.59,53.96,11.72,1.8732,0.2218,0.7692,0.5474,Y,,,Y,3,0.2677,0.0681,12/13/2020,1,127.664,143.017,147.635,139.4386667,127.664,,,,#DIV/0!,0,
GS1_14,16,GS1,GS,M,Y,63.7,55.24,12.05,2.0928,0.2153,0.7323,0.517,Y,,,N,0,0,0,12/13/2020,2,139.955,143.644,149.597,144.3986667,139.955,,,,#DIV/0!,0,
GS1_15,16,GS1,GS,M,Y,64.62,56.2,12.78,2.3222,0.2288,0.7652,0.5364,Y,,,N,0,0,0,12/13/2020,3,132.378,142.923,151.498,142.2663333,132.378,,,,#DIV/0!,0,
SG3_7,16,SG3,SG,F,N,60.96,52.13,10.95,1.5745,0.2166,1.2056,0.989,N,,,NA,NA,NA,NA,12/13/2020,4,124.298,,,124.298,124.298,,,,#DIV/0!,0,only one measurement cycle usable due to fish activity
