lake,collection_date,location,dissection_date,fish_number,schisto_number,schisto_length,schisto_weight,schisto_height,voucher_top,voucher_id,notes,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,171,127,39,0.1567,,,fish171_scisto127,*green highlights = missing data,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,171,128,22,0.0607,,,fish171_scisto128,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,174,129,26,0.032,,,fish174_scisto129,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,177,130,37,0.1574,,,fish177_scisto130,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,185,131,37,0.3587,,,fish185_scisto131,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,190,132,37,0.2734,,,fish190_scisto132,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,190,133,21,0.0497,,,fish190_scisto133,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,191,134,40,0.2064,,,fish191_scisto134,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,191,135,38,0.0524,,,fish191_scisto135,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,194,136,42,0.1843,3,,fish194_scisto136,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,196,137,27,0.0357,3,,fish196_scisto137,pretty mushy,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,200,138,40,0.2455,5,,fish200_scisto138,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,204,139,29,0.1928,5,,fish204_scisto139,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,204,140,25,0.0747,5,,fish204_scisto140,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,208,141,40,0.0801,3,,fish208_scisto141,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,210,142,46,0.2697,5,,fish210_scisto142,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,210,143,17,0.0402,5,,fish210_scisto143,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,212,144,20,0.0631,4,,fish212_scisto144,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,212,145,19,0.0529,4,,fish212_scisto145,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,215,146,42,0.1826,5,,fish215_scisto146,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,215,147,23,0.0247,4,,fish215_scisto147,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Littoral,25-Feb-20,217,148,28,0.0541,4,,fish217_scisto148,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
